model,Galaxy S24,Galaxy A54,Xperia 1 V,GT Neo 5,Nord 3,10 Pro,12,iPhone 14,ROG Phone 7,Nord 3,Nova 11 Ultra,Pixel 7 Pro,Edge 40,Galaxy A54,Edge 40 Pro,Edge 40 Pro,iPhone 14,Nova 11 Ultra,Zenfone 10,iPhone 15,Edge 40,ROG Phone 7,Edge 40,11,Zenfone 10,GT 3,P60 Pro,GT Neo 5,11 Pro+,13 Pro,Edge 40,Edge 40 Pro,Edge 40,P60 Pro,Galaxy A54,iPhone 15 Pro,Pixel 8 Pro,13,Xperia 10 V,Pixel 8 Pro,11 Pro+,Xperia 1 V,Moto G Power,Galaxy Z Fold5,Mate 50 Pro,ROG Phone 6,Zenfone 10,Edge 40 Pro,Moto G Power,Mate 50 Pro,Nord 3,Xperia 10 V,Xperia 5 IV,Galaxy A54,Pixel 8,P60 Pro,Xperia 1 V,Xperia 5 IV,Mate 50 Pro,GT Neo 5,Galaxy S23,Galaxy S23,Xperia 1 V,Xperia 5 IV,iPhone 15 Pro,Moto G Power,Pixel 8 Pro,Nova 11 Ultra,Xperia 10 V,Xperia 5 IV,Edge 40 Pro,Pixel 7 Pro,Pixel 8 Pro,GT 3,Edge 40 Pro,Pixel 8 Pro,11 Pro+,Zenfone 10,Pixel 8,Moto G Power,Edge 40,12,Nova 11 Ultra,P60 Pro,12,Galaxy Z Fold5,ROG Phone 7,Nord 3,Moto G Power,Pixel 7 Pro,Nova 11 Ultra,Pixel 7,Redmi Note 12,iPhone 14,iPhone 15,12 Pro,Zenfone 10,iPhone 15,Edge 40 Pro,Moto G Power
Galaxy S24,0.9999999999999997,0.626717137596273,0.6232048416896194,0.44558609107552405,0.6346324094575215,0.8685769866865987,0.7482952171748821,0.8455542591797996,0.6398668251133968,0.33397406958956277,0.6611216738001224,0.623656611266144,0.7457480126787244,0.8246889673508879,0.8238843456855353,0.7206409727837816,0.6742788961729156,0.6088138527094565,0.46637087571999963,0.8964824125628614,0.7175622117508413,0.31294948737843575,0.6687139874314856,0.6486688590001374,0.2647242655100683,0.564653017288636,0.48590338737333233,0.45045061384365304,0.798792004199426,0.5160601743309705,0.6117219208408837,0.6336435171483528,0.7607113829489767,0.5962843941075501,0.6570085413527641,0.8164352343309424,0.555566519279667,0.6626862467353118,0.38001291995249853,0.5454462667707026,0.1684710781974586,0.4180710922872918,0.5509989587052623,0.27274788713183085,0.44499735733843004,0.5920102250534096,0.621205433918592,0.2921956974625485,0.7339712413596194,0.5563780257208419,0.33190302855344805,0.3428342182078908,0.5304158243212852,0.7027210505869426,0.6849992402858983,0.7255610335202461,0.5056577774681457,0.6868253220091732,0.1851602589747559,0.68025931992188,0.4870148272380781,0.6246308958443827,0.42792801759974125,0.5164447688661385,0.6024290393121902,0.3608101832003053,0.5269368986158417,0.5171922167437775,0.4621653314244516,0.18812691929274136,0.6029592797200706,0.5336896141394981,0.4180583575675341,0.3309180063455987,0.4633816091382441,0.3584532791821684,0.2567989605787111,0.24983969383643598,0.5515595390109755,0.3988900322967414,0.5158323226478683,0.5872802201729904,0.4128560661774145,0.4270204808987572,0.29503781767337284,0.35441963307149266,0.3362702942924202,0.5078265686080168,0.3214465013448234,0.35667984692573973,0.1558533370149087,0.2340790816787599,0.3227120526216314,0.27781011247189413,0.4598022549101318,0.4210431541120587,0.14732051389259188,0.28141361009106935,0.30846413874647727,0.29580133642973067
Galaxy A54,0.626717137596273,0.9999999999999998,0.953188143708258,0.9271768513383497,0.7227895593884892,0.8956911977476608,0.6865878556891097,0.6695482659548508,0.9456375283007882,0.607633774866617,0.6568312713396689,0.469404314787307,0.5725950564512318,0.6156468034462582,0.7230565743610778,0.6064210250519131,0.5760491596866478,0.8330631120245142,0.6559691566519822,0.6709217464201306,0.8037414471374212,0.8147956092549127,0.6077949048418493,0.4923934562976673,0.346244794548703,0.5212641844838704,0.842228315183012,0.6503159114119179,0.6599879367094983,0.3833974292577511,0.8771304692077806,0.7198828642198825,0.6574144279029099,0.8458676757396258,0.9360016860003216,0.5983601837821749,0.571022758436945,0.45101458271046674,0.5384475111765934,0.6646180969327555,0.6704282579344804,0.6510760405786152,0.45888897393452094,0.750746317977612,0.7929284676394239,0.8216007463914304,0.40225050158882814,0.39882564651933033,0.5433909340308444,0.4854770450387102,0.6099068741264275,0.525405119860195,0.47830365554507864,0.4868058530455882,0.6059794674216156,0.5909295585680723,0.38732560147761314,0.6598871375558324,0.5301431052387537,0.48893683681670064,0.4579304617676202,0.6575968357701742,0.7425046018223045,0.3828662863353611,0.4972834837090508,0.47502592304505203,0.47462379959158574,0.6655640892503359,0.4732766789331508,0.2411579938390169,0.5619339279914994,0.44476283914022774,0.4142118850533395,0.3918230008443155,0.40428772730853674,0.27704963824076295,0.2958216705163572,0.5629045236007175,0.5984688186975905,0.5517027852718704,0.6277375524966111,0.4061851653688965,0.5215348823124013,0.6033323030753862,0.15199501428454248,0.33459374306580025,0.48220731418431717,0.21885836450482618,0.3384664296412992,0.37111617393489255,0.4635036186923263,0.47451557355846785,0.5279975861379087,0.437777702866329,0.4177549013625546,0.6129838228008284,0.15299882131864198,0.364960637566464,0.41867700398387175,0.2482073034846838
Xperia 1 V,0.6232048416896194,0.953188143708258,1.0000000000000004,0.8560927477056552,0.6448264987161217,0.877808321588379,0.5653844828407154,0.6184402363555794,0.8837660782800627,0.4901433590172259,0.6427766816105787,0.3675864099923601,0.5478554829983944,0.6418215516882055,0.6994421353168929,0.5104887690591213,0.5535210783215303,0.8596200627641893,0.5101717170357154,0.7094778147218538,0.7304068487114067,0.8381957854485594,0.5000412850289658,0.4573920300358539,0.3588117657171603,0.39643532113116225,0.8797798226527512,0.5162706305017981,0.6835322527625894,0.26383676023518904,0.7904980661600052,0.7118661845237495,0.6237191308458816,0.8600146016848201,0.8884171727539727,0.6360123620123233,0.6230274902814006,0.4604431186834032,0.41826634498503684,0.5546585450488002,0.6395783403404182,0.5789924494225708,0.46108654573243096,0.6802112363674959,0.821909071948839,0.8558536488518727,0.40467130994162037,0.32638746283347153,0.5086920073056993,0.4962079760542223,0.5300977167228821,0.5723682521232848,0.5130605114540111,0.44483495990021055,0.5933805497366827,0.6152602637309247,0.33533941390048455,0.6399184052848683,0.4975643794048671,0.47109202435124037,0.35347681014887655,0.6337333998637596,0.7140870005874318,0.4203842825406002,0.45638439220268995,0.5026717229920312,0.5002856386793061,0.6096107936670945,0.47141256870965104,0.26551713580116393,0.5196494764798769,0.3791231292633213,0.35399344885540235,0.35084271521847077,0.34699543428502305,0.21899860394210702,0.26711991697235576,0.5266398115998877,0.5386959833095187,0.4759902260640899,0.5868604301194588,0.4085862261757487,0.5586004530444998,0.5685584969762509,0.1732934315482252,0.34151586385320787,0.5034921294462713,0.24850975176198564,0.2938555914960803,0.31370446419040365,0.4418826942396,0.4111830479419573,0.5640581795498578,0.364702923930637,0.4086158386118179,0.6058255280831757,0.1495204837664816,0.3040552323949755,0.4290767602444955,0.26113432184808355
GT Neo 5,0.44558609107552405,0.9271768513383497,0.8560927477056552,0.9999999999999998,0.8220927266802605,0.7740593293532002,0.6809466204521594,0.6734712706580954,0.8591523086115754,0.5520322236467289,0.7274539537331037,0.3556649096701601,0.3331701368374324,0.48264106650230487,0.5720401120970118,0.6350648179969853,0.5162553329313002,0.6698895302052548,0.7167770203088435,0.5125508700034759,0.7683725519103711,0.8117725968374582,0.6633818271418995,0.5764941550929074,0.3201441556937219,0.5520910549031949,0.7366264146325122,0.6861127399627364,0.4673302599064546,0.468773684283504,0.864196981707659,0.5392473127443898,0.48756153208935193,0.820168440960447,0.8593116567618403,0.44008787445402775,0.4538988606518626,0.42629611412807705,0.6177436687925019,0.7341557183142453,0.6786320096921669,0.6876645249273068,0.42321833104262935,0.7925607212068806,0.7583436678586349,0.7405102414173119,0.4190182666002619,0.36739252356690094,0.41814734579211826,0.3938169716929503,0.5885439027325773,0.4024077535387478,0.29970867878417706,0.42673711842900075,0.4835154419465508,0.5016837898850204,0.31459935212314455,0.6442103355958818,0.5292787136540714,0.39525928164036545,0.5309147507871941,0.5429786141221937,0.7865849882142574,0.27723380576522993,0.45442947104114123,0.3764947394405798,0.49301212660563287,0.6932481883746106,0.40042036603759174,0.23386688122112645,0.5082880788388736,0.3705437697076761,0.3687995648103988,0.40741619195197104,0.46719290209097314,0.3177502157887091,0.29698255587035094,0.544369122350309,0.6271466369592663,0.5604699010997027,0.6008975772965731,0.379472894995417,0.43081769551918675,0.5413992096182314,0.11754363568636714,0.26453275754141026,0.4778474269214417,0.15154544066330303,0.4019576978862713,0.41624099164538153,0.48054814833984627,0.5051862179020544,0.4666707633926345,0.4978210536505952,0.3711807675270496,0.6118884274507713,0.17610432334838808,0.41640424805010623,0.44573668890934554,0.22550024531221777
Nord 3,0.6346324094575215,0.7227895593884892,0.6448264987161217,0.8220927266802605,1.0,0.7841549335215364,0.8318926031820982,0.9180477410514871,0.7175018457443288,0.4787239103469945,0.8441250245004609,0.5053858679882229,0.31996248855309967,0.6831729304828466,0.5398181512433275,0.8903031869733071,0.7311285847595774,0.4907723517548224,0.6792185914641901,0.6132240298054126,0.7422667290124797,0.5685629696952234,0.8938898731755426,0.8875982475774097,0.3436248903720859,0.6982676330835109,0.5168084857767908,0.6592493603272959,0.44801602716718997,0.7774451979204459,0.7728909060820839,0.4619799372002749,0.46348810488217357,0.753946901293466,0.7225361790074186,0.5417851842447747,0.48811066401729863,0.6026160399330973,0.6381987994298285,0.7974505760236077,0.4573415524072035,0.6140163062885293,0.6359336700226076,0.639270849434024,0.5653800022425881,0.601705785342897,0.7007019770827059,0.3743547710489127,0.5319441497914751,0.37244478658571867,0.5247524557413473,0.2746997203786439,0.2528187273578233,0.6685960352935131,0.45773274919048174,0.5766015556014368,0.4466881995824413,0.797228424723805,0.3922156301090298,0.503650907086494,0.7467852805441036,0.5558058797114622,0.7290268688455219,0.31351502992733526,0.5576591789612133,0.31157588908521167,0.6573755749130191,0.7700959309464528,0.396285386488419,0.24057475274736403,0.6418486849288242,0.4616223376135477,0.3941269600758727,0.37795084907915405,0.6698932276522689,0.5383342609723129,0.274629819922972,0.43633028878551267,0.7450071667181343,0.5103736959669967,0.6022401553219596,0.5839269403531347,0.39645327228326577,0.5050703195175215,0.2424889698322168,0.26518106887990506,0.4157832649616806,0.3821406857355087,0.48005735218278833,0.49338165791031285,0.38213132742385925,0.4499250019359826,0.339495264516371,0.4831198743601844,0.3828956457883861,0.567765622381785,0.2509461009218792,0.46949107889721114,0.4515662331707915,0.2944126100099493
10 Pro,0.8685769866865987,0.8956911977476608,0.877808321588379,0.7740593293532002,0.7841549335215364,1.0,0.8228689149401166,0.8516052331864478,0.9094644596196305,0.6087110024490406,0.7188891481714108,0.6574492879184582,0.7510322343943091,0.8228021331093437,0.8465442579437498,0.7746735219582873,0.7546172295973071,0.8322297849770688,0.6278839660976612,0.8773820015348216,0.8492462648516134,0.6563845582558483,0.7459563056125,0.6742177280830375,0.4037794946824425,0.6491263399537851,0.7704382827067702,0.6556303721649759,0.8288048539887329,0.5517563620369849,0.8500919591190423,0.8000580912447222,0.798291715398449,0.831391117777054,0.8984188656102285,0.808120154833063,0.6822236195154698,0.6359963567078365,0.5396801674421636,0.6980959522852868,0.5321918186980799,0.6203103880608414,0.629837319181942,0.6089113234869332,0.709562545299121,0.8065690622273846,0.6105913733157279,0.4523881761441772,0.7443941179863082,0.5899956178375996,0.6026051250673968,0.541391971649236,0.6025498364938416,0.6997099632602976,0.7243648322290459,0.7475026589661475,0.5562800995441991,0.7962094927583876,0.4607597216023168,0.6849301076747762,0.5672972431595907,0.7517947803694678,0.6965432056289594,0.5300779284796141,0.6448221151494188,0.5230113515777012,0.6007399769566123,0.7165566805700626,0.564177453619031,0.29209427784822045,0.7095824901788683,0.595077915603751,0.5085229580689419,0.43111597101519944,0.5344092313326521,0.42395603219770917,0.34682156763066907,0.5203141027227378,0.6896791123419069,0.5608384865001501,0.6830161518992055,0.604489456226836,0.5790937109603125,0.6394307864666721,0.30773036572150647,0.41338591585286805,0.48728689253838453,0.46074147454999875,0.40103408565581394,0.4437028837748487,0.4095234291129359,0.4516517450722466,0.5163470503164316,0.4360567592843479,0.5133268728524766,0.6186970163528716,0.2266018259804169,0.4102574113101656,0.4458646177898603,0.3532790658138895
12,0.7482952171748821,0.6865878556891097,0.5653844828407154,0.6809466204521594,0.8318926031820982,0.8228689149401166,0.9999999999999998,0.8852431558550624,0.7626989274929871,0.6840866716445058,0.699063327674267,0.7764335571625013,0.6707396843379686,0.595756546882203,0.7894552555551559,0.9075770090093195,0.6546676446871809,0.5200298627460676,0.8725098862965955,0.6876396337360031,0.8865942101747785,0.3586066449228219,0.9149369242111834,0.746785877089359,0.3247435382718189,0.8747164899868003,0.4229486869460099,0.8351180480948346,0.6436207035314842,0.8105349573431679,0.8529930382034245,0.5996686261695661,0.7659470467061543,0.5936423418644983,0.7472294482028196,0.6378156947388873,0.4140974221856419,0.6367297445156511,0.8139635806664757,0.8722459351813711,0.37008231403038333,0.749894838549041,0.5270675341197877,0.535900620637325,0.4538875280702453,0.5348029598653861,0.6112988267837137,0.5438476275886289,0.759418024937787,0.5494435114041604,0.6241094824952105,0.3351359350724753,0.47958723548035886,0.7243514288548779,0.690733251558585,0.6421465052890538,0.6747691117379084,0.7681794857649465,0.4024220277834606,0.6912661282158723,0.7600230126394102,0.6404007352116652,0.6396257749685373,0.4896464297052849,0.7178544978783509,0.3500016018495131,0.5056763822802811,0.7099500496171471,0.559010434393166,0.2965993163439098,0.70105756582633,0.6974480942282983,0.6190793851639803,0.5329568470741661,0.6669510365533489,0.5591874218440579,0.4331695288443234,0.4502369427225742,0.7478314549180811,0.6769850260290131,0.6740896737595851,0.6019656021827766,0.36713434986279825,0.5641260679639465,0.320600824158388,0.37244286639620805,0.39409925875497953,0.43761225530105285,0.5431074095337688,0.5963688240728124,0.35464291229755807,0.5226696506000825,0.3282434890059129,0.5874146804756349,0.5374235740992467,0.5338899820924068,0.2763670454312451,0.5491530351758009,0.4008704980430471,0.3477737999291491
iPhone 14,0.8455542591797996,0.6695482659548508,0.6184402363555794,0.6734712706580954,0.9180477410514871,0.8516052331864478,0.8852431558550624,0.9999999999999999,0.6948364139911127,0.42796235462393895,0.8563582879774531,0.6281485927906507,0.5437634152339874,0.791006674660247,0.7275443114105983,0.9285331157406936,0.7812258552240483,0.5425200496531619,0.6768399147330998,0.8204284024817662,0.8145758336580328,0.45193417302782357,0.9141628231489283,0.903703753700739,0.3792110238146698,0.757460391904529,0.49513473200210467,0.6559665405995012,0.6532547832532247,0.7947818265901,0.7658572806834448,0.5599198544890477,0.6622802858505183,0.725886443324545,0.7243005780814749,0.7522888669582056,0.5590351375637688,0.75235720872461,0.6374301513421632,0.8015982156546982,0.33842869117899366,0.6217951291753439,0.6774964481640656,0.5096862115339725,0.5398862075535347,0.6305239659349853,0.7910929187030875,0.42045457633818184,0.7199105900952351,0.5438901100813387,0.49337553851194044,0.3327505189919141,0.4292404965549598,0.7903543609256143,0.6423754875577173,0.7376320561020925,0.5743927937406783,0.8498020417083582,0.35220927564900045,0.6879295455518185,0.7583791442816659,0.6479882411283505,0.6689670989809477,0.49701011577802506,0.7063609223912147,0.38273723184630026,0.7027067660875599,0.7498382852083957,0.5162020122223671,0.3070788775020047,0.7189611253287247,0.5978912890294898,0.5088781605292638,0.46473894028739626,0.7130456752709756,0.5811368385267591,0.3686897293750553,0.4050245817047615,0.7734048187673814,0.5621273468022212,0.656611342734213,0.7017375807108763,0.4522481544121266,0.5317944429808186,0.3657849563366095,0.38604447754448573,0.4609347608101874,0.5458718529310848,0.5376566793479087,0.5596227070795315,0.3427654562272531,0.44225975143593727,0.3815150939073419,0.5108691696040654,0.5291079037649165,0.5836476903651574,0.30651404196363147,0.5109536146347902,0.48298674558098853,0.3955471998346676
ROG Phone 7,0.6398668251133968,0.9456375283007882,0.8837660782800627,0.8591523086115754,0.7175018457443288,0.9094644596196305,0.7626989274929871,0.6948364139911127,1.0,0.7824964994393424,0.5555150765606152,0.6931649236028528,0.7143179525639861,0.6894482880156194,0.7329636179397133,0.7167954638146755,0.7204682064611071,0.8675102522868375,0.6924823033627344,0.6957495309812406,0.8133043174160473,0.7621382210397973,0.7080490975754569,0.5207703470401756,0.4855493949089792,0.679343706456247,0.830233242571444,0.7741444113433542,0.7369976475529777,0.5397823278305923,0.905292209566767,0.8494685525150799,0.7412215033427378,0.8208539101906568,0.9436591054918154,0.6634119633976909,0.6627243784581959,0.47891084150248486,0.6214541643263053,0.7122856410050201,0.7417274135076289,0.6936625137545742,0.6007994821217403,0.7816181476814923,0.7351822541865254,0.7972936374227315,0.487070042209101,0.5817911463196354,0.6800751061734562,0.5108075393211402,0.757544105332344,0.6339950150685324,0.6100008997197095,0.626821116341968,0.6450883580320909,0.6130928425112808,0.5929476287044982,0.75194647457107,0.6213600784924026,0.6089137562651625,0.5777449823276251,0.7699434480024943,0.7692139339523257,0.46746108714867496,0.5943333244026929,0.5790911040911768,0.5119074547466056,0.7613912594605311,0.5815915542218527,0.3367960980776865,0.7176429369092701,0.6177093968056785,0.5517210963565125,0.4491877806059441,0.511254462480692,0.44924364531288885,0.3832053100162007,0.684238691000929,0.6925314214939646,0.6195531881367423,0.7158710009322445,0.4999007323686687,0.6138665883406543,0.7417278219632096,0.2630634423856334,0.4125059252633921,0.49262505960751796,0.3462328231815275,0.3917259831590257,0.45152001420425364,0.5503752090443794,0.5770603475808559,0.5604424560426067,0.5017426610956869,0.4723265747504508,0.6479140520630859,0.2730020208564142,0.465375655690487,0.4458133781748349,0.3461755836530168
Nord 3,0.33397406958956277,0.607633774866617,0.4901433590172259,0.5520322236467289,0.4787239103469945,0.6087110024490406,0.6840866716445058,0.42796235462393895,0.7824964994393424,1.0,0.17955433308439825,0.8226357197473118,0.6839111044809656,0.4587436295401583,0.49963566955140765,0.6299137862154488,0.6325056839373828,0.6502296791669574,0.6314924159692341,0.40911657964863146,0.6130878312952619,0.472481644658612,0.6372732022281568,0.3690190267032257,0.5451339479648358,0.767724799408226,0.569267863580759,0.8451006518194968,0.5744266815554208,0.6208647436574606,0.7398155779352233,0.783400730977375,0.6443754215877641,0.5170438188851922,0.7138041618639569,0.47351008013156726,0.5470694560618059,0.3347469976444889,0.6929673418165901,0.6417018904481999,0.7374692338144729,0.6733710423773827,0.56887201316252,0.7237287914479515,0.4598561572353093,0.49503538885305653,0.37527801508243885,0.7909627468072422,0.6655046821758825,0.4199176367221944,0.8939221414739111,0.6566107359256743,0.6440776215242022,0.6156841455591874,0.5218685222368485,0.4166941177021551,0.7664501340267631,0.6353164399980179,0.6965493410328638,0.593918359442107,0.6378684834484738,0.7290568838924067,0.6459177332412207,0.46971536577398526,0.5874433073090924,0.5996253631466937,0.36987663391249465,0.7062837708221903,0.6284983119342499,0.4621245581423251,0.7336760604798132,0.741578197827152,0.6806292860454094,0.5030073426301008,0.5464070410122738,0.6080235662140496,0.5038895603649045,0.7494460946398,0.6556706367671263,0.6511941552574327,0.6888798075758146,0.47996167440313414,0.5769158011216199,0.786359665184036,0.40287626811380783,0.4714011091505441,0.40048284095793113,0.4068034826164765,0.43605050143577034,0.5228536715606038,0.6289172137131248,0.6883133862836466,0.49478620769568604,0.5742431054630027,0.4632271454024431,0.5597783532702459,0.4299182957269736,0.5801244454677202,0.4068061183912523,0.4338424318020405
